name,phone,website,tipo_site,status
Dra. Marian Ralston | Odontologia Estetica e Restauradora,(11) 99978-1710,https://www.dramarianralston.com.br/,site próprio,200
Clinica Antonioli,(11) 95157-5588,https://www.clinicaantonioli.com.br/,site próprio,200
Dentista em Sao Paulo | Melhores dentistas | Dra. Thais Vinha | Protese Dentaria,(11) 91597-6383,,sem site,
Dentista 24 Horas e Pronto Socorro Odontologico Dra Danielly Odontologia24horas,(11) 2273-0023,https://www.odontologia24horas.com.br/,site próprio,200
Atual Odonto - Estetica & Saude Bucal,(11) 3258-9004,https://atualodonto.com.br/,site próprio,406
Dentista 24 Horas,(11) 5539-2196,http://www.dentista24horas.com.br/,site próprio,200
Clinica Odonto Postale,(11) 99873-9823,,sem site,
Odentz 24h Clinica Odontologica - Unidade Pamplona,(11) 2306-7787,https://odentz.com.br/,site próprio,200
Dentistas 24 Horas SANTANA,(11) 2976-5245,,sem site,
Dra. Luana Melo - Cirurgia Dentista Urgencia,(11) 93337-5985,https://sites.google.com/view/draluanamelo?usp=sharing,agregador/social,200
Dentistas 24h - Zona Norte,(11) 2950-6803,http://www.dentistas24h.com/,site próprio,200
Dentista 24 horas (por demanda) - SPB Odontologia,(11) 94828-9927,,sem site,
SOS Dentistas 24 horas,(11) 5585-3497,http://www.sosdentistas.com.br/,site próprio,200
Odontomania | Clinica Odontologica Particular - Nao Aceitamos Convenios,(11) 3955-0764,http://clinicaodontomania.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Centro Odontologico 24 horas,(11) 5549-8565,https://plantaoodonto.com.br/,site próprio,"ERRO: HTTPSConnectionPool(host='plantaoodonto.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013EDFFC6330>: Failed to resolve 'plantaoodonto.com.br' ([Errno 11002] getaddrinfo failed)""))"
Dentista Dra Ana Paula Z Melo,(11) 99107-8703,https://www.draanapaulazagomelo.com/,site próprio,200
Viver Odonto,(11) 5686-3025,,sem site,
Dentista 24hs - Centro SP - Dr. Erick Andrade CROSP 131.232,(11) 99251-5610,,sem site,
Clinica Dente de Leite,(11) 5044-7477,http://www.clinicadentedeleite.com.br/,site próprio,200
Mariana Cestari I Dentista 24 horas Sao Paulo,(11) 98741-7000,,sem site,
Odentz 24h Clinica Odontologica - Unidade Tatuape,(11) 2227-0981,https://odentz.com.br/,site próprio,200
Nippo Dents Clinica Odontologica | Melhores Dentistas | Implantes Dentarios Sao Paulo,(11) 96326-3528,https://nippodents.com.br/,site próprio,200
AK Odontologia e Face,(11) 96428-1339,https://www.akodontologiaeface.com.br/,site próprio,200
Dentplan,(11) 3673-2444,https://dentplan.com.br/,site próprio,200
Dentista 24 horas Sena Madureira Vila Mariana,(11) 3895-0101,https://www.plantaoodonto24horas.com.br/,site próprio,"ERRO: HTTPSConnectionPool(host='www.plantaoodonto24horas.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013EE002DDF0>: Failed to resolve 'www.plantaoodonto24horas.com.br' ([Errno 11001] getaddrinfo failed)""))"
Centro de Cuidado Odontologico,(11) 5196-2404,https://capital.sp.gov.br/web/saude/w/noticias/344253,site próprio,200
Urbano Odontologia,(11) 97204-9344,https://www.urbanoodontologiasp.com.br/,site próprio,200
"Dentista 24 horas Mooca, Urgencia, Protese, Ortodontia, Implantes, Facetas, Restauracoes, Clareamento- Dr.Raphael Sinnes",(11) 96260-6565,,sem site,
Dentista 24horas,(11) 3449-2324,,sem site,
