name,phone,website,tipo_site,status
Dentista Em Sao Paulo | Melhores Dentistas | Dra. Thais Vinha | Protese Dentaria,5511915976383,,sem site,
Clinica Odonto Postale,5511998739823,,sem site,
Dra. Luana Melo - Cirurgia Dentista Urgencia,5511933375985,https://sites.google.com/view/draluanamelo?usp=sharing,agregador/social,ON
Dentista 24 Horas (por Demanda) - Spb Odontologia,5511948289927,,sem site,
Dentista 24hs - Centro Sp - Dr. Erick Andrade Crosp 131.232,5511992515610,,sem site,
Mariana Cestari I Dentista 24 Horas Sao Paulo,5511987417000,,sem site,
"Dentista 24 Horas Mooca, Urgencia, Protese, Ortodontia, Implantes, Facetas, Restauracoes, Clareamento- Dr.raphael Sinnes",5511962606565,,sem site,
Dentista No Centro,5511965360450,https://www.dentistanocentro.com.br/contato/,site próprio,OFF (406)
"Protese Dentaria, Protese Protocolo E Dentista 24 Horas - Dr Juvencio Neto",5511962751722,,sem site,
"Dra Luciana Ferreira Batista / Dentista Particular E Convenios (bradesco, Odontoprev, Etc)",5511991124645,,sem site,
Instituto Odontologico - Implantes Dentarios Em Moema - Dentista De Urgencia Em Moema,5511914372728,,sem site,
Sao Paulo Dental Studio,5511945068360,http://www.saopaulodentalstudio.com.br/,site próprio,OFF (406)
Portal Do Sorriso,5511957168474,https://www.portaldosorriso.com.br/,site próprio,OFF (403)
Lsr Odontologia,5511963594671,https://www.lsrodontologia.com.br/,site próprio,OFF (406)
Dra. Natalia Mosca,5511994451842,,sem site,
Dentz Vila Mariana Clinica Odontologica,5511946046000,"https://api.whatsapp.com/send?phone=5511946046000&text=Ol%C3%A1,%20quero%20agendar%20uma%20avalia%C3%A7%C3%A3o!",agregador/social,ON
Suzuki Dental Care Dr.lauro Suzuki,5511999334035,,sem site,
"Dentista Dr. Miarelli - Lentes De Resina Em Sao Paulo, Sp",5511943588838,http://www.drmiarelli.com.br/,site próprio,OFF
Dentista Em Jardim Paulista Sp | Borges Britto Odonto,5511997777137,http://borgesbrittoodonto.renderforestsites.com/,site próprio,OFF (404)
Dentista Av Paulista Dra.regla,5511992027527,https://draregladentista.com/,site próprio,OFF (406)
Sorridents,5511991835932,https://sorridents.com.br/,site próprio,OFF (403)
Dentista - Dra. Claudia Marchetto Costa ( Odontologia Marchetto Costa ),5511934306262,https://www.odontologiamarchettocosta.com.br/,site próprio,OFF (520)
W Odonto|dentista Paraiso|microscopio Operatorio|implantes Dentarios|ortodontia Invisalign|estetica Dental|endodontia,5511987661249,http://www.instagram.com/wodontoconsultorio,agregador/social,ON
Odonto Center Sp-odontologia Especializada Em Sao Paulo,5511993476051,,sem site,
Implante Dentario | Lentes De Contato Dental | Fratelli Odontologia | Barra Funda - Sao Paulo - Sp,5511913737559,http://www.fratelliodontologia.com.br/,site próprio,OFF
Clinica Nova Jerusalem - Dentista Sao Paulo,5511994638070,https://www.clinicanovajerusalem.com/,site próprio,OFF (406)
Confio Odontologia | Implantes | Proteses | Dentista Em Sao Paulo,5511940558565,,sem site,
Dentista Perto De Mim | Consultorio Odontologico Dra Ana Carolina,5511985070994,,sem site,
Clinica So Dente,5511947675276,http://www.sodente.com.br/,site próprio,OFF (406)
Dra. Renata Pinho - Lagoa Rio Odontologia,5521984190453,https://www.instagram.com/lagoario_odonto/,agregador/social,ON
"Consultorio Odontologico Particular Bianca Barata | Dentista Emergencia 24h Whatsapp | Protese, Implante - Copacabana/rj",5521995702659,http://www.biancabarata.com/,site próprio,OFF (406)
Dentista Dra. Jessica Morais | Clinica Odontologica | Lente De Resina | Faceta | Invisalign | Ortodontia | Limpeza | Botafogo,5521981033189,https://tinyurl.com/dentistajessicamorais,agregador/social,ON
Prev Odonto Prime,5521981579671,,sem site,
