name,website,phone,is_temporarily_closed,,,
Dra. Marian Ralston | Odontologia Estetica e Restauradora,https://www.dramarianralston.com.br/,(11) 99978-1710,,,,
Clinica Antonioli,https://www.clinicaantonioli.com.br/,(11) 95157-5588,,,,
Dentista em Sao Paulo | Melhores dentistas | Dra. Thais Vinha | Protese Dentaria,,(11) 91597-6383,,,,
Dentista 24 Horas e Pronto Socorro Odontologico Dra Danielly Odontologia24horas,https://www.odontologia24horas.com.br/,(11) 2273-0023,,,,
Atual Odonto - Estetica & Saude Bucal,https://atualodonto.com.br/,(11) 3258-9004,,,,
Dentista 24 Horas,http://www.dentista24horas.com.br/,(11) 5539-2196,,,,
Clinica Odonto Postale,,(11) 99873-9823,,,,
Odentz 24h Clinica Odontologica - Unidade Pamplona,https://odentz.com.br/,(11) 2306-7787,,,,
Dentistas 24 Horas SANTANA,,(11) 2976-5245,,,,
Dra. Luana Melo - Cirurgia Dentista Urgencia,https://sites.google.com/view/draluanamelo?usp=sharing,(11) 93337-5985,,,,
Dentistas 24h - Zona Norte,http://www.dentistas24h.com/,(11) 2950-6803,,,,
Dentista 24 horas (por demanda) - SPB Odontologia,,(11) 94828-9927,,,,
SOS Dentistas 24 horas,http://www.sosdentistas.com.br/,(11) 5585-3497,,,,
Odontomania | Clinica Odontologica Particular - Nao Aceitamos Convenios,http://clinicaodontomania.com.br/,(11) 3955-0764,,,,
Centro Odontologico 24 horas,https://plantaoodonto.com.br/,(11) 5549-8565,,,,
Dentista Dra Ana Paula Z Melo,https://www.draanapaulazagomelo.com/,(11) 99107-8703,,,,
Viver Odonto,,(11) 5686-3025,,,,
Dentista 24hs - Centro SP - Dr. Erick Andrade CROSP 131.232,,(11) 99251-5610,,,,
Clinica Dente de Leite,http://www.clinicadentedeleite.com.br/,(11) 5044-7477,,,,
Mariana Cestari I Dentista 24 horas Sao Paulo,,(11) 98741-7000,,,,
Odentz 24h Clinica Odontologica - Unidade Tatuape,https://odentz.com.br/,(11) 2227-0981,,,,
Nippo Dents Clinica Odontologica | Melhores Dentistas | Implantes Dentarios Sao Paulo,https://nippodents.com.br/,(11) 96326-3528,,,,
AK Odontologia e Face,https://www.akodontologiaeface.com.br/,(11) 96428-1339,,,,
Dentplan,https://dentplan.com.br/,(11) 3673-2444,,,,
Dentista 24 horas Sena Madureira Vila Mariana,https://www.plantaoodonto24horas.com.br/,(11) 3895-0101,,,,
