name,website,phone,status,tipo_site
Dra. Marian Ralston | Odontologia Estetica e Restauradora,https://www.dramarianralston.com.br/,(11) 99978-1710,200,site próprio
Clinica Antonioli,https://www.clinicaantonioli.com.br/,(11) 95157-5588,200,site próprio
Dentista em Sao Paulo | Melhores dentistas | Dra. Thais Vinha | Protese Dentaria,,(11) 91597-6383,,sem site
Dentista 24 Horas e Pronto Socorro Odontologico Dra Danielly Odontologia24horas,https://www.odontologia24horas.com.br/,(11) 2273-0023,200,site próprio
Atual Odonto - Estetica & Saude Bucal,https://atualodonto.com.br/,(11) 3258-9004,406,site próprio
Dentista 24 Horas,http://www.dentista24horas.com.br/,(11) 5539-2196,200,site próprio
Clinica Odonto Postale,,(11) 99873-9823,,sem site
Odentz 24h Clinica Odontologica - Unidade Pamplona,https://odentz.com.br/,(11) 2306-7787,200,site próprio
Dentistas 24 Horas SANTANA,,(11) 2976-5245,,sem site
Dra. Luana Melo - Cirurgia Dentista Urgencia,https://sites.google.com/view/draluanamelo?usp=sharing,(11) 93337-5985,200,agregador/social
Dentistas 24h - Zona Norte,http://www.dentistas24h.com/,(11) 2950-6803,200,site próprio
Dentista 24 horas (por demanda) - SPB Odontologia,,(11) 94828-9927,,sem site
SOS Dentistas 24 horas,http://www.sosdentistas.com.br/,(11) 5585-3497,200,site próprio
Odontomania | Clinica Odontologica Particular - Nao Aceitamos Convenios,http://clinicaodontomania.com.br/,(11) 3955-0764,"ERRO: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",site próprio
Centro Odontologico 24 horas,https://plantaoodonto.com.br/,(11) 5549-8565,"ERRO: HTTPSConnectionPool(host='plantaoodonto.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016FD5586C00>: Failed to resolve 'plantaoodonto.com.br' ([Errno 11002] getaddrinfo failed)""))",site próprio
Dentista Dra Ana Paula Z Melo,https://www.draanapaulazagomelo.com/,(11) 99107-8703,200,site próprio
Viver Odonto,,(11) 5686-3025,,sem site
Dentista 24hs - Centro SP - Dr. Erick Andrade CROSP 131.232,,(11) 99251-5610,,sem site
Clinica Dente de Leite,http://www.clinicadentedeleite.com.br/,(11) 5044-7477,200,site próprio
Mariana Cestari I Dentista 24 horas Sao Paulo,,(11) 98741-7000,,sem site
Odentz 24h Clinica Odontologica - Unidade Tatuape,https://odentz.com.br/,(11) 2227-0981,200,site próprio
Nippo Dents Clinica Odontologica | Melhores Dentistas | Implantes Dentarios Sao Paulo,https://nippodents.com.br/,(11) 96326-3528,406,site próprio
AK Odontologia e Face,https://www.akodontologiaeface.com.br/,(11) 96428-1339,200,site próprio
Dentplan,https://dentplan.com.br/,(11) 3673-2444,200,site próprio
Dentista 24 horas Sena Madureira Vila Mariana,https://www.plantaoodonto24horas.com.br/,(11) 3895-0101,"ERRO: HTTPSConnectionPool(host='www.plantaoodonto24horas.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016FD56A48C0>: Failed to resolve 'www.plantaoodonto24horas.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
Centro de Cuidado Odontologico,https://capital.sp.gov.br/web/saude/w/noticias/344253,(11) 5196-2404,200,site próprio
Urbano Odontologia,https://www.urbanoodontologiasp.com.br/,(11) 97204-9344,200,site próprio
"Dentista 24 horas Mooca, Urgencia, Protese, Ortodontia, Implantes, Facetas, Restauracoes, Clareamento- Dr.Raphael Sinnes",,(11) 96260-6565,,sem site
Dentista 24horas,,(11) 3449-2324,,sem site
"YOKOTA & XAVIER, Dentista Zona Leste SP, Clinica Vila Matilde, Especialista, Melhor: Implante Dentario Canal BucoMaxilo Siso",https://www.yokotaodontologia.com/,(11) 94800-7313,200,site próprio
Dentista 24hrs | Odonto Urgente Tatuape,https://www.odontourgente.com.br/,(11) 2097-1155,406,site próprio
Domo Odontologia Clinica e Atendimento 24 horas,https://domoclinica.com.br/,(11) 93775-0181,200,site próprio
Venturini Odontologia,http://venturiniodontologia.com.br/,(11) 5093-7633,200,site próprio
EM Odontologia,https://www.emodontologia.com.br/,(11) 3887-5867,200,site próprio
Dentista no Centro,https://www.dentistanocentro.com.br/contato/,(11) 96536-0450,406,site próprio
Odontologia Todo Dia,https://odontologiatododia.com.br/,(11) 2365-1998,406,site próprio
Clinica Bela Vista,http://www.clinicabelavista.com/,(11) 98975-4251,200,site próprio
"PROTESE DENTARIA, PROTESE PROTOCOLO E DENTISTA 24 HORAS - Dr Juvencio Neto",,(11) 96275-1722,,sem site
Lira Odonto,,(11) 2574-0958,,sem site
Dra Carolina Macedo ( Emergencia odontologica).,http://www.dracarolinamacedo.com.br/,(11) 98837-3689,200,site próprio
Dentistas Av Paulista SP | Amil Hapvida Itau Metlife Santander Sulamerica Unimed,https://bit.ly/3jArQkj,(11) 4637-8838,200,agregador/social
Dentista Vila Olimpia SP | Amil Hapvida Itau Metlife Santander Sulamerica Unimed,https://bit.ly/2Ed4X6r,(11) 4637-8838,200,agregador/social
